THK,Punch,VD,BD,IR,OR,KF
0.03,0.03,0.276,0.055,0.045,0.075,0.516
0.033,0.001,0.236,0.06,0.045,0.080,0.488
0.035,0.03,0.276,0.064,0.045,0.080,0.46
0.037,0.026,0.315,0.071,0.05,0.090,0.421
0.044,0.026,0.315,0.082,0.05,0.090,0.397
0.044,0.03,0.275,0.076,0.05,0.090,0.484
0.044,0.03,0.394,0.082,0.06,0.100,0.459
0.044,0.06,0.394,0.08,0.07,0.100,0.55
0.045,0.008,0.394,0.081,0.05,0.090,0.431
0.045,0.026,0.315,0.085,0.05,0.100,0.374
0.045,0.03,0.275,0.077,0.05,0.090,0.495
0.045,0.03,0.394,0.081,0.05,0.095,0.431
0.045,0.03,0.394,0.086,0.428,0.480,2.655
0.045,0.03,0.472,0.086,0.05,0.095,0.36
0.045,0.06,0.394,0.082,0.06,0.100,0.477
0.045,0.06,0.472,0.086,0.06,0.100,0.421
0.045,0.492,0.984,0.241,0.45,0.500,0.596
0.048,0.03,0.276,0.082,0.428,0.480,2.622
0.054,0.026,0.394,0.098,0.05,0.100,0.371
0.055,0.394,1.260,0.246,0.406,0.460,0.443
0.056,0.026,0.315,0.096,0.06,0.100,0.475
0.058,0.028,0.394,0.101,0.06,0.100,0.447
0.058,0.028,0.394,0.103,0.06,0.100,0.425
0.058,0.028,0.551,0.114,0.1,0.140,0.493
0.058,0.028,0.551,0.114,0.09,0.130,0.446
0.058,0.028,0.787,0.137,0.12,0.160,0.335
0.058,0.028,0.787,0.138,0.13,0.160,0.371
0.06,0.03,0.394,0.1,0.06,0.100,0.485
0.06,0.03,0.551,0.1,0.95,0.135,4.538
0.07,0.03,0.472,0.125,0.06,0.125,0.371
0.07,0.03,0.472,0.117,0.06,0.125,0.443
0.07,0.03,0.551,0.13,0.06,0.135,0.325
0.07,0.03,0.630,0.138,0.075,0.150,0.311
0.07,0.06,0.472,0.125,0.06,0.125,0.371
0.07,0.06,0.551,0.13,0.06,0.135,0.325
0.07,0.06,0.630,0.138,0.08,0.150,0.33
0.07,0.09,0.787,0.141,0.1,0.175,0.381
0.07,0.09,0.984,0.159,0.12,0.200,0.296
0.071,0.024,0.551,0.137,0.09,0.150,0.391
0.071,0.03,0.394,0.107,0.085,0.145,0.641
0.071,0.03,0.630,0.119,0.085,0.145,0.533
0.072,0.063,0.472,0.128,0.08,0.140,0.445
0.072,0.028,0.276,0.111,0.03,0.100,0.406
0.072,0.028,0.276,0.109,0.03,0.100,0.423
0.072,0.072,0.394,0.121,0.05,0.120,0.393
0.072,0.028,0.394,0.114,0.06,0.120,0.493
0.072,0.028,0.551,0.132,0.1,0.145,0.486
0.072,0.028,0.551,0.133,0.09,0.140,0.439
0.072,0.028,0.787,0.148,0.12,0.165,0.42
0.072,0.028,0.787,0.146,0.12,0.165,0.438
0.075,0.03,0.394,0.12,0.055,0.120,0.455
0.075,0.03,0.551,0.128,0.095,0.140,0.533
0.075,0.06,0.472,0.126,0.07,0.130,0.459
0.075,0.06,0.551,0.133,0.07,0.140,0.399
0.075,0.118,0.787,0.146,0.08,0.140,0.325
0.101,0.09,0.984,0.202,0.12,0.240,0.325
0.101,0.118,0.984,0.205,0.14,0.240,0.36
0.101,0.187,0.787,0.218,0.19,0.290,0.413
0.102,0.03,0.472,0.158,0.185,0.290,0.783
0.102,0.03,0.630,0.178,0.185,0.290,0.658
0.105,0.187,0.787,0.22,0.18,0.280,0.404
0.114,0.118,0.984,0.221,0.14,0.270,0.375
0.128,0.028,0.787,0.227,0.11,0.240,0.379
0.13,0.023,0.551,0.208,0.105,0.220,0.475
0.13,0.03,0.551,0.208,0.1,0.200,0.465
0.131,0.09,0.984,0.25,0.18,0.280,0.434
0.131,0.118,0.984,0.245,0.14,0.280,0.375
0.131,0.188,0.787,0.259,0.18,0.300,0.39
0.131,0.188,0.787,0.253,0.2,0.300,0.461
0.171,0.118,0.984,0.304,0.18,0.340,0.429
0.174,0.187,0.984,0.324,0.18,0.375,0.37
0.175,0.118,0.984,0.306,0.12,0.300,0.347
0.176,0.023,0.787,0.278,0.1,0.280,0.423
0.176,0.03,0.984,0.294,0.1,0.300,0.365
0.242,0.06,1.575,0.411,0.12,0.340,0.328
0.242,0.118,0.984,0.389,0.1,0.360,0.363
0.244,0.118,0.984,0.395,0.14,0.400,0.399
0.245,0.118,0.984,0.396,0.1,0.360,0.354
0.245,0.118,0.984,0.391,0.125,0.405,0.397
0.245,0.118,1.570,0.425,0.125,0.250,0.308
0.246,0.118,0.984,0.088,0.14,0.400,1.201
0.247,0.06,0.984,0.371,0.1,0.350,0.428
0.25,0.125,0.984,0.373,0.125,0.375,0.46
0.37,0.118,1.570,0.535,0.2,0.570,0.5
0.375,0.188,1.960,0.475,0.2,0.575,0.613
0.375,0.394,0.197,0.674,0.38,0.750,0.406
